Transription Units,TU BNum,TU EcoCycID,First Gene,Last Gene,TU Start,TU End,TU Length,TU RNA Deg Rate,Avg Deg Rate,Stdev Deg Rate
[ilvH],"(b0078,)",[EG10499],b0078,b0078,87357,87848,491,[150.0],150.0,0.0
"[ilvH, cra]","(b0078, b0080)","[EG10499, EG10338]",b0078,b0080,87357,89032,1675,"[150.0, 344.82]",247.41,97.41
"[cra, mraZ, rsmH]","(b0080, b0081, b0082)","[EG10338, EG11084, EG11085]",b0080,b0082,88028,91035,3007,"[344.82, 192.0, 240.0]",258.94,63.8097735461
[cra],"(b0080,)",[EG10338],b0080,b0080,88028,89032,1004,[344.82],344.82,0.0
"[cra, mraZ, rsmH, ftsL]","(b0080, b0081, b0082, b0083)","[EG10338, EG11084, EG11085, EG11086]",b0080,b0083,88028,91397,3369,"[344.82, 192.0, 240.0, 344.82]",280.41,66.608168418
"[cra, mraZ]","(b0080, b0081)","[EG10338, EG11084]",b0080,b0081,88028,90092,2064,"[344.82, 192.0]",268.41,76.41
[mraZ],"(b0081,)",[EG11084],b0081,b0081,89634,90092,458,[192.0],192.0,0.0
"[mraZ, rsmH, ftsL]","(b0081, b0082, b0083)","[EG11084, EG11085, EG11086]",b0081,b0083,89634,91397,1763,"[192.0, 240.0, 344.82]",258.94,63.8097735461
"[mraZ, rsmH, ftsL, ftsI]","(b0081, b0082, b0083, b0084)","[EG11084, EG11085, EG11086, EG10341]",b0081,b0084,89634,93179,3545,"[192.0, 240.0, 344.82, 354.0]",282.705,68.9063935713
[rsmH],"(b0082,)",[EG11085],b0082,b0082,90094,91035,941,[240.0],240.0,0.0
"[ftsL, ftsI]","(b0083, b0084)","[EG11086, EG10341]",b0083,b0084,91032,93179,2147,"[344.82, 354.0]",349.41,4.59
[ftsL],"(b0083,)",[EG11086],b0083,b0083,91032,91397,365,[344.82],344.82,0.0
[murE],"(b0085,)",[EG10621],b0085,b0085,93166,94653,1487,[228.0],228.0,0.0
"[murE, murF]","(b0085, b0086)","[EG10621, EG10622]",b0085,b0086,93166,96008,2842,"[228.0, 180.0]",204.0,24.0
[murF],"(b0086,)",[EG10622],b0086,b0086,94650,96008,1358,[180.0],180.0,0.0
"[murF, mraY]","(b0086, b0087)","[EG10622, EG10604]",b0086,b0087,94650,97084,2434,"[180.0, 474.0]",327.0,147.0
"[mraY, murD]","(b0087, b0088)","[EG10604, EG10620]",b0087,b0088,96002,98403,2401,"[474.0, 344.82]",409.41,64.59
[mraY],"(b0087,)",[EG10604],b0087,b0087,96002,97084,1082,[474.0],474.0,0.0
[murD],"(b0088,)",[EG10620],b0088,b0088,97087,98403,1316,[344.82],344.82,0.0
"[murD, ftsW]","(b0088, b0089)","[EG10620, EG10344]",b0088,b0089,97087,99647,2560,"[344.82, 344.82]",344.82,0.0
"[ftsW, murG]","(b0089, b0090)","[EG10344, EG10623]",b0089,b0090,98403,100711,2308,"[344.82, 810.0]",577.41,232.59
[ftsW],"(b0089,)",[EG10344],b0089,b0089,98403,99647,1244,[344.82],344.82,0.0
[murG],"(b0090,)",[EG10623],b0090,b0090,99644,100711,1067,[810.0],810.0,0.0
[murC],"(b0091,)",[EG10619],b0091,b0091,100765,102240,1475,[510.0],510.0,0.0
"[murC, ddlB]","(b0091, b0092)","[EG10619, EG10214]",b0091,b0092,100765,103153,2388,"[510.0, 744.0]",627.0,117.0
"[murC, ddlB, ftsQ]","(b0091, b0092, b0093)","[EG10619, EG10214, EG10342]",b0091,b0093,100765,103985,3220,"[510.0, 744.0, 1374.0]",876.0,364.867099092
[ddlB],"(b0092,)",[EG10214],b0092,b0092,102233,103153,920,[744.0],744.0,0.0
"[ddlB, ftsQ]","(b0092, b0093)","[EG10214, EG10342]",b0092,b0093,102233,103985,1752,"[744.0, 1374.0]",1059.0,315.0
"[ftsQ, ftsA, ftsZ]","(b0093, b0094, b0095)","[EG10342, EG10339, EG10347]",b0093,b0095,103155,106456,3301,"[1374.0, 344.82, 344.82]",687.88,485.160104708
"[ftsQ, ftsA]","(b0093, b0094)","[EG10342, EG10339]",b0093,b0094,103155,105244,2089,"[1374.0, 344.82]",859.41,514.59
[ftsQ],"(b0093,)",[EG10342],b0093,b0093,103155,103985,830,[1374.0],1374.0,0.0
"[ftsA, ftsZ]","(b0094, b0095)","[EG10339, EG10347]",b0094,b0095,103982,106456,2474,"[344.82, 344.82]",344.82,0.0
[ftsA],"(b0094,)",[EG10339],b0094,b0094,103982,105244,1262,[344.82],344.82,0.0
"[ftsZ, lpxC, secM]","(b0095, b0096, b0097)","[EG10347, EG10265, EG11087]",b0095,b0097,105305,108217,2912,"[344.82, 402.0, 344.82]",363.88,26.9549104988
[ftsZ],"(b0095,)",[EG10347],b0095,b0095,105305,106456,1151,[344.82],344.82,0.0
"[ftsZ, lpxC]","(b0095, b0096)","[EG10347, EG10265]",b0095,b0096,105305,107474,2169,"[344.82, 402.0]",373.41,28.59
"[lpxC, secM]","(b0096, b0097)","[EG10265, EG11087]",b0096,b0097,106557,108217,1660,"[402.0, 344.82]",373.41,28.59
[lpxC],"(b0096,)",[EG10265],b0096,b0096,106557,107474,917,[402.0],402.0,0.0
[secM],"(b0097,)",[EG11087],b0097,b0097,107705,108217,512,[344.82],344.82,0.0
"[secM, secA]","(b0097, b0098)","[EG11087, EG10936]",b0097,b0098,107705,110984,3279,"[344.82, 156.0]",250.41,94.41
[secA],"(b0098,)",[EG10936],b0098,b0098,108279,110984,2705,[156.0],156.0,0.0
"[yacG, zapD]","(b0101, b0102)","[EG12314, EG12313]",b0101,b0102,111649,112599,950,"[342.0, 204.0]",273.0,69.0
[yacG],"(b0101,)",[EG12314],b0101,b0101,111649,111846,197,[342.0],342.0,0.0
"[yacG, zapD, coaE]","(b0101, b0102, b0103)","[EG12314, EG12313, EG12312]",b0101,b0103,111649,113219,1570,"[342.0, 204.0, 192.0]",246.0,68.0587981087
[zapD],"(b0102,)",[EG12313],b0102,b0102,111856,112599,743,[204.0],204.0,0.0
"[zapD, coaE]","(b0102, b0103)","[EG12313, EG12312]",b0102,b0103,111856,113219,1363,"[204.0, 192.0]",198.0,6.0
[coaE],"(b0103,)",[EG12312],b0103,b0103,112599,113219,620,[192.0],192.0,0.0
[guaC],"(b0104,)",[EG10422],b0104,b0104,113444,114487,1043,[504.0],504.0,0.0
[hofC],"(b0106,)",[EG11798],b0106,b0106,114522,115724,1202,[402.0],402.0,0.0
"[hofB, ppdD]","(b0107, b0108)","[EG12106, EG12107]",b0107,b0108,115714,117549,1835,"[344.82, 390.0]",367.41,22.59
[ppdD],"(b0108,)",[EG12107],b0108,b0108,117109,117549,440,[390.0],390.0,0.0
[nadC],"(b0109,)",[EG11546],b0109,b0109,117752,118645,893,[156.0],156.0,0.0
"[ampD, ampE]","(b0110, b0111)","[EG10041, EG10042]",b0110,b0111,118733,120135,1402,"[258.0, 234.0]",246.0,12.0
[ampD],"(b0110,)",[EG10041],b0110,b0110,118733,119284,551,[258.0],258.0,0.0
[ampE],"(b0111,)",[EG10042],b0111,b0111,119281,120135,854,[234.0],234.0,0.0
[aroP],"(b0112,)",[EG10084],b0112,b0112,120178,121551,1373,[198.0],198.0,0.0
[pdhR],"(b0113,)",[EG11088],b0113,b0113,122092,122856,764,[264.0],264.0,0.0
[aceE],"(b0114,)",[EG10024],b0114,b0114,123017,125680,2663,[372.0],372.0,0.0
"[aceF, lpd]","(b0115, b0116)","[EG10025, EG10543]",b0115,b0116,125695,129336,3641,"[594.0, 348.0]",471.0,123.0
[aceF],"(b0115,)",[EG10025],b0115,b0115,125695,127587,1892,[594.0],594.0,0.0
[lpd],"(b0116,)",[EG10543],b0116,b0116,127912,129336,1424,[348.0],348.0,0.0
"[acnB, yacL]","(b0118, b0119)","[EG12316, EG12605]",b0118,b0119,131615,134750,3135,"[126.0, 234.0]",180.0,54.0
[acnB],"(b0118,)",[EG12316],b0118,b0118,131615,134212,2597,[126.0],126.0,0.0
"[yacL, speD]","(b0119, b0120)","[EG12605, EG10962]",b0119,b0120,134388,135582,1194,"[234.0, 582.0]",408.0,174.0
[yacL],"(b0119,)",[EG12605],b0119,b0119,134388,134750,362,[234.0],234.0,0.0
"[yacL, speD, speE]","(b0119, b0120, b0121)","[EG12605, EG10962, EG10963]",b0119,b0121,134388,136464,2076,"[234.0, 582.0, 264.0]",360.0,157.454755406
"[speD, speE]","(b0120, b0121)","[EG10962, EG10963]",b0120,b0121,134788,136464,1676,"[582.0, 264.0]",423.0,159.0
[speD],"(b0120,)",[EG10962],b0120,b0120,134788,135582,794,[582.0],582.0,0.0
[speE],"(b0121,)",[EG10963],b0121,b0121,135598,136464,866,[264.0],264.0,0.0
[yacC],"(b0122,)",[EG11089],b0122,b0122,136570,136917,347,[414.0],414.0,0.0
"[yacC, cueO]","(b0122, b0123)","[EG11089, EG12318]",b0122,b0123,136570,138633,2063,"[414.0, 344.82]",379.41,34.59
[cueO],"(b0123,)",[EG12318],b0123,b0123,137083,138633,1550,[344.82],344.82,0.0
[gcd],"(b0124,)",[EG10369],b0124,b0124,138835,141225,2390,[344.82],344.82,0.0
"[hpt, can, yadG, yadH]","(b0125, b0126, b0127, b0128)","[EG20098, EG12319, EG12320, EG12321]",b0125,b0128,141431,144472,3041,"[378.0, 150.0, 246.0, 228.0]",250.5,81.9801805316
"[hpt, can]","(b0125, b0126)","[EG20098, EG12319]",b0125,b0126,141431,142670,1239,"[378.0, 150.0]",264.0,114.0
[hpt],"(b0125,)",[EG20098],b0125,b0125,141431,141967,536,[378.0],378.0,0.0
"[hpt, can, yadG]","(b0125, b0126, b0127)","[EG20098, EG12319, EG12320]",b0125,b0127,141431,143705,2274,"[378.0, 150.0, 246.0]",258.0,93.4665715644
"[hpt, can, yadG, yadH, yadI]","(b0125, b0126, b0127, b0128, b0129)","[EG20098, EG12319, EG12320, EG12321, EG12322]",b0125,b0129,141431,145017,3586,"[378.0, 150.0, 246.0, 228.0, 282.0]",256.8,74.4
"[can, yadG, yadH]","(b0126, b0127, b0128)","[EG12319, EG12320, EG12321]",b0126,b0128,142008,144472,2464,"[150.0, 246.0, 228.0]",208.0,41.665333312
[can],"(b0126,)",[EG12319],b0126,b0126,142008,142670,662,[150.0],150.0,0.0
[yadG],"(b0127,)",[EG12320],b0127,b0127,142779,143705,926,[246.0],246.0,0.0
"[yadG, yadH]","(b0127, b0128)","[EG12320, EG12321]",b0127,b0128,142779,144472,1693,"[246.0, 228.0]",237.0,9.0
"[yadG, yadH, yadI]","(b0127, b0128, b0129)","[EG12320, EG12321, EG12322]",b0127,b0129,142779,145017,2238,"[246.0, 228.0, 282.0]",252.0,22.4499443206
[yadH],"(b0128,)",[EG12321],b0128,b0128,143702,144472,770,[228.0],228.0,0.0
[panD],"(b0131,)",[EG11747],b0131,b0131,146314,146694,380,[156.0],156.0,0.0
[panC],"(b0133,)",[EG11746],b0133,b0133,147944,148795,851,[258.0],258.0,0.0
"[panC, panB]","(b0133, b0134)","[EG11746, EG11675]",b0133,b0134,147944,149601,1657,"[258.0, 240.0]",249.0,9.0
[panB],"(b0134,)",[EG11675],b0134,b0134,148807,149601,794,[240.0],240.0,0.0
"[yadL, yadM]","(b0137, b0138)","[EG12326, EG12327]",b0137,b0138,151626,152812,1186,"[546.0, 252.0]",399.0,147.0
[yadM],"(b0138,)",[EG12327],b0138,b0138,152243,152812,569,[252.0],252.0,0.0
"[folK, pcnB]","(b0142, b0143)","[EG11374, EG10690]",b0142,b0143,157253,159126,1873,"[180.0, 288.0]",234.0,54.0
[pcnB],"(b0143,)",[EG10690],b0143,b0143,157729,159126,1397,[288.0],288.0,0.0
"[pcnB, gluQ, dksA]","(b0143, b0144, b0145)","[EG10690, EG11362, EG10230]",b0143,b0145,157729,160604,2875,"[288.0, 318.0, 282.0]",296.0,15.748015748
"[gluQ, dksA]","(b0144, b0145)","[EG11362, EG10230]",b0144,b0145,159186,160604,1418,"[318.0, 282.0]",300.0,18.0
"[dksA, sfsA, ligT]","(b0145, b0146, b0147)","[EG10230, EG10949, EG12330]",b0145,b0147,160149,162031,1882,"[282.0, 288.0, 276.0]",282.0,4.89897948557
"[dksA, sfsA]","(b0145, b0146)","[EG10230, EG10949]",b0145,b0146,160149,161486,1337,"[282.0, 288.0]",285.0,3.0
[dksA],"(b0145,)",[EG10230],b0145,b0145,160149,160604,455,[282.0],282.0,0.0
[ligT],"(b0147,)",[EG12330],b0147,b0147,161501,162031,530,[276.0],276.0,0.0
[hrpB],"(b0148,)",[EG12329],b0148,b0148,162105,164534,2429,[344.82],344.82,0.0
[mrcB],"(b0149,)",[EG10605],b0149,b0149,164730,167264,2534,[344.82],344.82,0.0
[fhuA],"(b0150,)",[EG10302],b0150,b0150,167484,169727,2243,[126.0],126.0,0.0
"[fhuA, fhuC, fhuD]","(b0150, b0151, b0152)","[EG10302, EG10304, EG10305]",b0150,b0152,167484,171465,3981,"[126.0, 264.0, 198.0]",196.0,56.3560112144
"[fhuA, fhuC]","(b0150, b0151)","[EG10302, EG10304]",b0150,b0151,167484,170575,3091,"[126.0, 264.0]",195.0,69.0
"[fhuC, fhuD]","(b0151, b0152)","[EG10304, EG10305]",b0151,b0152,169778,171465,1687,"[264.0, 198.0]",231.0,33.0
