	Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
True	EG10614	lpxM	myristoyl-acyl carrier protein (ACP)-dependent acyltransferase	characterized	characterized	1.33891164174E-05	1.00	0.661	0.335	0.176	N	N	N	myristoyl-acyl carrier protein (ACP)-dependent acyltransferase	Putative factor; Adaptations, atypical conditions	Lipid A synthesis, KDO2-lauroyl-lipid IVA myristoyl-ACP acyltransferase	Endotoxin synthesis 	Kdo2-lipid A biosynthetic process
True	G7241	lpxP	palmitoleoyl acyltransferase	characterized	characterized	4.31505740669E-06	0.75	0.724	0.203	0.311	N	N	u	palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase	Enzyme; Not classified	Lipid A synthesis, KDO2-lipid IVA palmitoleoyl-ACP acyltransferase; cold temperature inducible	Endotoxin synthesis 	N/A
True	G7266	yfeX	porphyrinogen peroxidase	characterized	unknown	2.77326410488E-05	1.00	0.871	0.482	0.655	N	u	u	porphyrinogen oxidase, cytoplasmic	Enzyme; Transport of small molecules: Cations	Porphyrinogen oxidase, cytoplasmic; binds heme and protoporphyrin IX (PPIX)	Iron storage protein 	N/A
False	EG10114	bglB	6-phospho-&beta;-glucosidase B; cryptic	characterized	characterized	1.88775391795E-07	0.09	0.809	0.285	0.324	X	N	N	cryptic phospho-beta-glucosidase B	Enzyme; Degradation of small molecules: Carbon compounds	Phospho-beta-glucosidase B; allows growth on arbutin or salicin when activated	Met 	N/A
False	EG10140	chbB	chitobiose / cellobiose PTS permease - ChbB subunit	characterized	characterized	3.33767855258E-06	0.72	0.731	0.324	0.323	E	N	N	N,N'-diacetylchitobiose-specific enzyme IIB component of PTS	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	N,N'-diacetylchitobiose utilization, enzyme IIB(Chb) of the PTS transport system	Met 	N/A
False	EG10141	chbC	chitobiose / cellobiose PTS permease - ChbC subunit	characterized	characterized	2.18383071838E-07	0.03	0.707	0.224	0.189	N	N	u	N,N'-diacetylchitobiose-specific enzyme IIC component of PTS	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	PTS Enzyme IIC(Chb) for N,N'-diacetylchitobiose utilization	Met 	N/A
False	EG10142	chbA	chitobiose / cellobiose PTS permease - ChbA subunit	characterized	characterized	1.3026373098E-06	0.44	0.773	0.252	0.233	E	N	u	N,N'-diacetylchitobiose-specific enzyme IIA component of PTS	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	PTS Enzyme IIA(Chb), N,N'-diacetylchitobiose utilization; trimeric	Met 	N/A
False	EG10172	cybB	cytochrome b561	characterized	characterized	1.49316417188E-05	0.97	0.739	0.346	0.232	N	N	u	cytochrome b561	Enzyme; Energy metabolism, carbon: Electron transport	Cytochrome b561	Met 	N/A
False	EG10250	dsdX	D-serine transporter	characterized	characterized	5.47310897642E-07	0.19	0.726	0.262	0.279	N	N	N	D-serine transporter	Transport; Not classified	D-serine permease; D-serine tolerance	Met 	D-serine transport
False	EG10252	ebgA	evolved &beta;-D-galactosidase	characterized	characterized	2.80329971963E-07	0.09	0.789	0.391	0.436	N	N	N	evolved beta-D-galactosidase, alpha subunit	Enzyme; Degradation of small molecules: Carbon compounds	Evolved beta-D-galactosidase, alpha subunit; normal substrate and function unknown; alpha(4)beta(4) holoenzyme	Met 	N/A
False	EG10253	ebgC	evolved &beta;-D-galactosidase	characterized	characterized	1.14718276124E-07	0.00	0.84	0.352	0.365	N	N	u	evolved beta-D-galactosidase, beta subunit; cupin superfamily	Enzyme; Degradation of small molecules: Carbon compounds	Evolved beta-D-galactosidase, beta subunit; cupin superfamily; normal substrate and function unknown; alpha(4)beta(4) holoenzyme	Met 	N/A
True	EG10355	fucU	L-fucose mutarotase	characterized	characterized	4.8139413921E-06	0.81	0.74	0.303	0.312	?	N	N	L-fucose mutarotase	Phenotype; Degradation of small molecules: Carbon compounds	L-fucose mutarotase	Met 	L-fucose metabolic process
True	EG10425	hdhA	HdhA	characterized	characterized	1.63717153308E-05	1.00	0.785	0.259	0.275	N	N	u	7-alpha-hydroxysteroid dehydrogenase, NAD-dependent	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	7-alpha-Hydroxysteroid dehydrogenase	Met 	steroid metabolic process
True	EG10501	ilvM	IlvM	characterized	characterized	1.19542269594E-05	0.94	0.754	0.371	0.625	N	N	u	acetolactate synthase 2 small subunit	Enzyme; Amino acid biosynthesis: Isoleucine, Valine	Acetolactate synthase 2 small regulatory subunit; acetohydroxy acid synthase II; heterotetrameric AHAS-II	Met 	N/A
True	EG10524	lacA	galactoside O-acetyltransferase monomer	characterized	characterized	5.32386005519E-07	0.22	0.793	0.287	0.3	N	N	u	thiogalactoside acetyltransferase	Enzyme; Degradation of small molecules: Carbon compounds	Thiogalactoside acetyltransferase	Met 	lactose biosynthetic process
False	EG10611	mrp	putative ATPase	characterized	characterized	0.000023076	1.00	0.815	0.245	0.233	N	N	N	antiporter inner membrane protein	Putative enzyme; Not classified	Putative Fe-S scaffold protein, P-loop ATPase	Met 	N/A
True	EG10634	nagD	ribonucleotide monophosphatase	characterized	characterized	3.00841050803E-05	1.00	0.786	0.344	0.37	N	N	u	UMP phosphatase	Enzyme; Central intermediary metabolism: Amino sugars	UMP phosphatase; HAD23	Met 	N/A
True	EG10713	phnC	phosphonate ABC transporter - ATP binding subunit	characterized	characterized	1.516337435E-07	0.00	0.73	0.215	0.12	N	N	N	phosphonate ABC transporter ATPase	Transport; Central intermediary metabolism: Phosphorus compounds	Phosphonate ABC transporter ATPase; phosphonate catabolism	Met 	alkylphosphonate transport
True	EG10714	phnD	phosphonate ABC transporter - periplasmic binding protein	characterized	characterized	0.000000129	0.09	0.602	0.354	0.588	N	N	N	phosphonate ABC transporter periplasmic binding protein	Transport; Transport of small molecules: Anions	Phosphonate ABC transporter periplasmic binding protein; phosphonate catabolism	Met 	alkylphosphonate transport
False	EG10716	phnG	PhnG subunit of methylphosphonate degradation complex	characterized	characterized	1.96317461236E-07	0.03	0.782	0.377	0.426	N	N	N	ribophosphonate triphosphate synthase subunit	Enzyme; Central intermediary metabolism: Phosphorus compounds	Ribophosphonate triphosphate synthase subunit; phosphonate catabolism	Met 	organic phosphonate catabolic process
False	EG10717	phnH	PhnH subunit of methylphosphonate degradation complex	characterized	characterized	4.04628849747E-07	0.13	0.787	0.34	0.319	N	N	N	ribophosphonate triphosphate synthase subunit	Enzyme; Central intermediary metabolism: Phosphorus compounds	Ribophosphonate triphosphate synthase subunit; phosphonate catabolism	Met 	organic phosphonate catabolic process
False	EG10718	phnI	PhnI subunit of methylphosphonate degradation complex	characterized	characterized	0.000000117	0.09	0.809	0.418	0.526	N	N	u	ribophosphonate triphosphate synthase complex putative catalytic subunit	Enzyme; Central intermediary metabolism: Phosphorus compounds	Ribophosphonate triphosphate synthase complex, probable catalytic subunit; phosphonate catabolism	Met 	organic phosphonate catabolic process
False	EG10719	phnJ	carbon-phosphorous lyase	characterized	characterized	1.4120662439E-07	0.09	0.831	0.368	0.415	X	N	u	carbon-phosphorus lyase, SAM-dependent	Enzyme; Central intermediary metabolism: Phosphorus compounds	Phosphoribosyl phosphonate carbon-phosphorus lyase; SAM-dependent; phosphonate catabolism	Met 	alkylphosphonate transport
False	EG10720	phnK	predicted carbon-phosphorous lyase subunit	unknown	unknown	1.02718121873E-07	0.09	0.799	0.31	0.428	X	N	N	carbon-phosphorus lyase complex subunit, putative ATP transporter ATP-binding protein	Enzyme; Central intermediary metabolism: Phosphorus compounds	Putative phosphonate ABC transporter ATP-binding subunit; phosphonate catabolism	Met 	organic phosphonate catabolic process
False	EG10721	phnL	PhnL subunit of methylphosphonate degradation complex	characterized	characterized	3.57189605294E-07	0.03	0.792	0.428	0.527	N	N	N	ribophosphonate triphosphate synthase subunit; putative ABC transporter-related ATPase	Enzyme; Central intermediary metabolism: Phosphorus compounds	Ribophosphonate triphosphate synthase subunit; phosphonate catabolism	Met 	organic phosphonate catabolic process
False	EG10722	phnM	RPnTP hydrolase	characterized	characterized	1.09630657585E-07	0.09	0.716	0.311	0.337	N	N	N	ribophosphonate triphosphate hydrolase	Enzyme; Central intermediary metabolism: Phosphorus compounds	Ribophosphonate triphosphate hydrolase	Met 	organic phosphonate catabolic process
False	EG10725	phnP	5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase	characterized	characterized	1.24357891432E-06	0.22	0.812	0.414	0.557	N	N	N	5-phospho-alpha-D-ribosyl 1,2-cyclic phosphate phosphodiesterase	Enzyme; Central intermediary metabolism: Phosphorus compounds	5-phospho-alpha-D-ribosyl 1,2-cyclic phosphate phosphodiesterase; phosphonate catabolism	Met 	organic phosphonate catabolic process
False	EG11053	uhpC	inner membrane protein sensing glucose-6-phosphate	characterized	characterized	9.33525695913E-07	0.25	0.612	0.662	0.666	N	N	N	membrane protein regulates uhpT expression	Regulator; Transport of small molecules: Carbohydrates, organic acids, alcohols	Glc6P transporter; membrane sensor recognizing external glucose-6-phosphate (Glc6P) and, in concert with UhpB, inducing uhpT	Met 	N/A
False	EG11055	uidA	&beta;-D-glucuronidase	characterized	characterized	1.86817465142E-07	0.03	0.801	0.261	0.25	N	N	u	beta-D-glucuronidase	Enzyme; Degradation of small molecules: Carbon compounds	Beta-d-glucuronidase	Met 	glucuronoside catabolic process
False	EG11105	entH	proofreading thioesterase in enterobactin biosynthesis	characterized	characterized	0.0001084527	1.00	0.843	0.202	0.239	N	N	u	enterobactin synthesis proofreading thioesterase	Null	Enterobactin synthesis proofreading thioesterase	Met 	enterobactin biosynthetic process
False	EG11121	yciA	acyl-CoA thioesterase	characterized	unknown	1.48671295685E-05	1.00	0.94	0.321	0.335	E	N	N	acyl-CoA esterase	Null	Acyl-CoA esterase	Met 	N/A
False	EG11141	yedA	putative membrane transport protein	characterized	unknown	6.2985649142E-07	0.16	0.768	0.398	0.413	N	N	N	amino acid exporter for phenylalanine, threonine	Putative membrane; Not classified	Amino acid exporter for phenylalanine, threonine	Met 	N/A
False	EG11160	mscS	mechanosensitive channel MscS monomer	characterized	characterized	1.99658664516E-05	1.00	0.754	0.358	0.457	?	u	u	mechanosensitive channel protein, small conductance	Transport; Transport of small molecules: Other	Mechanosensitive channel protein, intermediate conductance; heptameric	Met 	cellular water homeostasis
True	EG11195	yidA	sugar phosphatase	characterized	unknown	2.10251928654E-05	1.00	0.708	0.358	0.261	N	u	u	sugar phosphate phosphatase	Null	Erythrose 4-P and mannose 1-P phosphatase; alpha-D-glucose-1-P phosphatase, anomer-specific; phosphoramidase; physiological role unknown; additional in vitro substrates include: ribose-5-P, fructose-1-P, fructose-6-P, glucose-6-P, acetyl phosphate; HAD13	Met 	N/A
False	EG11199	mioC	flavoprotein involved in biotin synthesis	characterized	characterized	0.0001330858	1.00	0.855	0.257	0.261	N	u	u	FMN-binding protein MioC	Factor; DNA - replication, repair, restriction/modification	Required for biotin synthase activity in vitro; flavodoxin-like FMN-binding protein; transcription of mioC through oriC may have physiological significance in suboptimal conditions	Met 	N/A
False	EG11261	nfsA	NADPH nitroreductase monomer	characterized	characterized	1.07414792969E-05	0.97	0.729	0.334	0.262	N	N	u	nitroreductase A, NADPH-dependent, FMN-dependent	Phenotype; Not classified	Nitroreductase A; oxygen-insensitive, NADPH, FMN-dependent, major; reduces a variety of nitroaromatics, e.g. dihydropteridine, nitrofurantoin, nitrofurazone, quinones; SoxS regulon; homodimeric	Met 	N/A
False	EG11328	fdx	reduced ferredoxin	characterized	characterized	5.06582957429E-05	1.00	0.379	0.166	0.144	E	u	u	[2Fe-2S] ferredoxin	Carrier; Energy metabolism, carbon: Electron transport	Ferredoxin, an iron-sulfur protein; involved in assembly of other Fe-S clusters	Met 	N/A
False	EG11364	bglH	carbohydrate-specific outer membrane porin	characterized	characterized	1.97144575323E-07	0.06	0.803	0.3	0.319	N	N	u	carbohydrate-specific outer membrane porin, cryptic	Putative membrane; Not classified	Outer membrane beta-glucoside porin, cryptic; lamB paralog	Met 	N/A
True	EG11371	pgpC	phosphatidylglycerophosphatase C	characterized	characterized	5.7625452766E-06	0.94	0.62	0.309	0.182	N	u	u	phosphatidylglycerophosphatase C, membrane bound	Enzyme; Macromolecule synthesis, modification: Phospholipids	Phosphatidylglycerophosphatase C, membrane bound	Met 	N/A
False	EG11384	ahpC	alkyl hydroperoxide reductase	characterized	characterized	0.0002641292	1.00	0.74	0.528	0.732	N	N	N	alkyl hydroperoxide reductase, C22 subunit	Enzyme; Detoxification	Alkyl hydroperoxide reductase, subunit C; reduced by the AhpF subunit	Met 	response to alkyl hydroperoxide
False	EG11385	ahpF	AhpF component	characterized	characterized	5.45691176202E-05	1.00	0.724	0.316	0.36	N	N	N	alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding	Enzyme; Detoxification	Alkyl hydroperoxide reductase, subunit F; NAD(P)H:peroxiredoxin oxidoreductase, reduces AhpC; contains one FAD/monomer	Met 	response to hydroperoxide
True	EG11492	qor	Qor	characterized	characterized	1.56848720348E-05	0.97	0.72	0.244	0.364	N	N	N	quinone oxidoreductase, NADPH-dependent	Enzyme; Energy metabolism, carbon: Electron transport	Quinone oxidoreductase A, NADPH dependent	Met 	N/A
True	EG11540	wrbA	NAD(P)H quinone oxidoreductase	characterized	characterized	1.74582027218E-05	1.00	0.766	0.374	0.425	N	N	N	NAD(P)H:quinone oxidoreductase	Enzyme; Not classified	NAD(P)H:quinone oxidoreductase, type IV NQO; may protect against oxidative stress; dimeric, binds one FMN per monomer	Met 	N/A
False	EG11552	hydN	putative electron transport protein HydN	characterized	characterized	7.30210242939E-07	0.31	0.772	0.389	0.398	N	N	u	formate dehydrogenase-H, [4Fe-4S] ferredoxin subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Iron-sulfur protein required for Hyd-3 activity	Met 	N/A
False	EG11560	caiA	crotonobetainyl-CoA reductase	characterized	characterized	1.17118156669E-06	0.28	0.72	0.348	0.35	N	N	u	crotonobetaine reductase subunit II, FAD-binding	Putative regulator; Central intermediary metabolism: Pool, multipurpose conversions	Crotonobetaine reductase, CII component	Met 	carnitine catabolic process
False	EG11562	fixA	probable flavoprotein subunit required for anaerobic carnitine metabolism	characterized	characterized	2.05292707767E-07	0.06	0.788	0.252	0.429	N	N	u	anaerobic carnitine reduction putative electron transfer flavoprotein subunit	Putative enzyme; Energy metabolism, carbon: Electron transport	Required for anaerobic carnitine reduction	Met 	N/A
False	EG11563	fixB	probable flavoprotein subunit required for anaerobic carnitine metabolism	characterized	characterized	2.09327814524E-07	0.03	0.643	0.244	0.285	N	N	u	putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	Putative enzyme; Energy metabolism, carbon: Electron transport	Required for anaerobic carnitine reduction	Met 	N/A
True	EG11568	kefF	regulator of KefC-mediated potassium transport and quinone oxidoreductase	characterized	characterized	2.20317050882E-06	0.47	0.758	0.156	0.142	N	N	u	potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent	Putative enzyme; Not classified	Potassium-efflux system ancillary protein for KefC; glutathione-regulated; quinone oxidoreductase, FMN-dependent	Met 	positive regulation of ion transmembrane transporter activity
False	EG11596	moaB	MoaB protein	characterized	characterized	5.29365129126E-05	1.00	0.789	0.285	0.388	N	N	u	inactive molybdopterin adenylyltransferase	Enzyme; Biosynthesis of cofactors, carriers: Molybdopterin	Inactive molybdopterin adenylyltransferase	Met 	N/A
False	EG11646	psuK	predicted pseudouridine kinase	unknown	unknown	4.89347873505E-08	0.00	0.773	0.288	0.306	N	u	u	pseudouridine kinase	Enzyme; pseudouridine utilization	Pseudouridine kinase; enzyme; pseudouridine utilization	Met 	N/A
False	EG11658	uidB	glucuronide H<sup>+</sup> symporter	characterized	characterized	1.23188637264E-07	0.03	0.752	0.268	0.277	N	N	N	glucuronide transporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Inactive beta-glucuronide permease	Met 	N/A
False	EG11685	yicI	&alpha;-xylosidase	characterized	unknown	1.02654165924E-06	0.28	0.774	0.321	0.356	N	N	u	putative alpha-glucosidase	Null	Alpha-xylosidase; hexameric	Met 	N/A
True	EG11723	yieF	chromate reductase monomer	characterized	unknown	0.000009165	0.97	0.551	0.363	0.45	N	N	N	chromate reductase, Class I, flavoprotein	Null	Chromate reductase, Class I, flavoprotein; quinone reductase; chromate resistance; reduces mitomycin C; prodrug reducing enzyme	Met 	N/A
True	EG11735	efeB	heme-containing peroxidase/deferrochelatase	characterized	characterized	2.57049235244E-05	1.00	0.775	0.351	0.443	N	N	N	deferrrochelatase, periplasmic	Null	Deferrrochelatase, periplasmic; inactive acid inducible low-pH ferrous ion transporter EfeUOB; periplasmic acid peroxidase; heme cofactor	Met 	iron assimilation
True	EG11758	yjeF	NAD(P)HX epimerase / NAD(P)HX dehydratase	characterized	unknown	1.00661303431E-05	0.97	0.633	0.279	0.741	N	u	u	bifunctional NAD(P)H-hydrate repair enzyme; C-terminal domain ADP-dependent (S)-NAD(P)H-hydrate dehydratase and N-terminal domain NAD(P)H-hydrate epimerase	Enzyme; Not classified	Bifunctional NAD(P)H-hydrate repair enzyme; C-terminal domain ADP-dependent (S)-NAD(P)H-hydrate dehydratase and N-terminal domain NAD(P)H-hydrate epimerase	Met 	N/A
False	EG11761	pptA	probable 4-oxalocrotonate tautomerase (4-OT) monomer	characterized	characterized	7.1173480317E-06	0.84	0.436	0.27	0.219	N	N	u	4-oxalocrotonate tautomerase	Null	Phenylpyruvate tautomerase; other substrates are (p-hydroxyphenyl)pyruvate and 2-hydroxy-2,4-pentadienoate; homodimeric	Met 	N/A
True	EG11845	yihS	mannose isomerase	characterized	unknown	1.02832153207E-06	0.38	0.835	0.347	0.15	N	u	u	sulphoquinovose isomerase	Enzyme; Not classified	Sulphoquinovose isomerase, sulphoglycolysis pathway	Met 	mannose metabolic process
True	EG11850	yihX	&alpha;-D-glucose-1-phosphatase	characterized	unknown	0.000007136	0.94	0.689	0.382	0.304	N	u	u	alpha-D-glucose-1-phosphate phosphatase, anomer-specific	Enzyme; Not classified	Alpha-D-glucose-1-phosphate phosphatase, anomer-specific; physiological role unknown; HAD4	Met 	N/A
True	EG11865	rhaM	L-rhamnose mutarotase	characterized	characterized	4.35192647799E-07	0.09	0.81	0.286	0.316	N	N	u	L-rhamnose mutarotase	Null	L-rhamnose mutarotase	Met 	rhamnose catabolic process
False	EG11885	mdoG	periplasmic glucan (MDO) biosynthesis protein	characterized	characterized	0.000091361	1.00	0.559	0.516	0.778	N	N	N	OPG biosynthetic periplasmic beta-1,6 branching glycosyltransferase	Enzyme; Osmoregulated periplasmic glucan (OPG) biosynthesis	OPG biosynthetic beta-1,6 branching glycosyltransferase; periplasmic	Met 	N/A
False	EG11886	mdoH	membrane glycosyltransferase; synthesis of membrane-derived oligosaccharide (MDO)	characterized	characterized	3.94137947234E-05	1.00	0.524	0.675	0.916	N	N	N	OPG biosynthetic ACP-dependent transmembrane UDP-glucose beta-1,2 glycosyltransferase; nutrient-dependent cell size regulator, FtsZ assembly antagonist	Enzyme; Osmoregulated periplasmic glucan (OPG) biosynthesis biosynthesis	OPG biosynthetic UDP-glucose beta-1,2 glycosyltransferase; transmembrane, ACP-dependent; nutrient-dependent cell size regulator; FtsZ assembly antagonist	Met 	N/A
True	EG11896	plaP	putrescine H+ symporter PlaP	characterized	characterized	2.08865594986E-05	1.00	0.712	0.318	0.51	X	N	N	putrescine importer, low affinity	Transport; Not classified	Putrescine importer, low affinity; possible cell density sensor	Met 	putrescine transport
False	EG11918	zraP	zinc homeostasis protein	characterized	characterized	5.91807718588E-07	0.22	0.658	0.298	0.337	E	u	u	Zn-dependent periplasmic chaperone	Null	Zn-dependent periplasmic chaperone	Met 	N/A
True	EG11919	yjbB	putative inorganic phosphate export protein	characterized	unknown	2.73388467895E-06	0.59	0.808	0.344	0.401	N	N	N	putative Na+/Pi-cotransporter	Phenotype; Not classified	Probable Na+/Pi-cotransporter	Met 	sodium-dependent phosphate transport
False	EG11935	yjbQ	conserved protein	unknown	unknown	0.000033455	1.00	0.754	0.487	0.575	N	u	u	thiamine phosphate synthase	Null	Multicopy suppressor of thiE and pdxB; weak thiamine phosphate synthase activity	Met 	N/A
True	EG12033	psuG	predicted pseudouridine 5-phosphate glycosidase	unknown	unknown	1.50238961174E-07	0.00	0.797	0.283	0.153	?	u	u	pseudouridine 5'-phosphate glycosidase	Enzyme; pseudouridine catabolism	Pseudouridine 5'-phosphate glycosidase; pseudouridine utilization	Met 	N/A
False	EG12052	ccmH	CcmH	characterized	characterized	0.000001309	0.41	0.758	0.382	0.357	N	N	N	heme lyase, CcmH subunit	Putative enzyme; Energy metabolism, carbon: Electron transport	Heme lyase, with CcmF, required for transfer of heme to apocytochrome from heme-CcmE	Met 	protein-heme linkage
False	EG12053	ccmG	CcmG	characterized	characterized	1.43439825705E-06	0.41	0.786	0.388	0.431	N	N	N	periplasmic thioredoxin of cytochrome c-type biogenesis	Enzyme; Energy metabolism, carbon: Electron transport	Thiol-disulfide interchange protein, cytochrome C biogenesis; membrane-anchored, periplasmic; thioredoxin homolog	Met 	protein-heme linkage
False	EG12054	ccmF	cytochrome c-type biogenesis protein	characterized	characterized	8.02136336291E-07	0.28	0.697	0.243	0.227	N	N	N	heme lyase, CcmF subunit	Putative enzyme; Energy metabolism, carbon: Electron transport	Heme lyase, with CcmH, required for transfer of heme to apocytochrome from heme-CcmE	Met 	respiratory chain complex IV assembly
