Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
EG11693	emrD	multidrug efflux transporter EmrD	characterized	characterized	9.07156829663E-08	0.00	0.58	0.467	0.668	N	N	N	multidrug efflux system protein	Transport; Drug/analog sensitivity	Multidrug resistance pump; overexpression resistance to uncouplers and detergents	Antibiotic resistance 	N/A
EG11720	mdtL	multidrug efflux transporter MdtL	characterized	characterized	0.000000546	0.25	0.691	0.301	0.291	N	N	u	multidrug efflux system protein	Putative transport; Not classified	Multidrug resistance efflux protein; overexpression confers low-level chloramphenicol resistance	Antibiotic resistance 	N/A
EG11727	cbrC	colicin E2 tolerance protein	characterized	characterized	1.79285352726E-06	0.34	0.738	0.301	0.421	N	N	N	UPF0167 family protein	Null	Required for colicin E2 tolerance; UPF0167 family	Antibiotic resistance 	bacteriocin immunity
EG11826	etk	autophosphorylating protein tyrosine kinase	characterized	characterized	1.49780602117E-06	0.50	0.713	0.291	0.15	N	N	N	tyrosine-protein kinase, role in O-antigen capsule formation	Null	Tyrosine-protein kinase, required for O-antigen capsule formation; autokinase; polymyxin resistance	Antibiotic resistance 	peptidyl-tyrosine autophosphorylation
EG11870	yiiM	protein involved in base analog detoxification	characterized	unknown	4.57026847942E-06	0.78	0.694	0.229	0.135	N	N	N	6-N-hydroxylaminopurine resistance protein	Null	6-N-hydroxylaminopurine resistance, function unknown	Antibiotic resistance 	N/A
EG11883	tehA	tellurite resistance protein / ethidium efflux transporter	characterized	characterized	3.62588573176E-06	0.69	0.713	0.323	0.383	N	N	N	potassium-tellurite ethidium and proflavin transporter	Transport; Drug/analog sensitivity	K+-tellurite, ethidium and proflavin efflux transporter	Antibiotic resistance 	response to tellurium ion
EG11884	tehB	tellurite methyltransferase	characterized	characterized	1.03831681074E-05	0.97	0.657	0.365	0.369	N	N	N	tellurite, selenium methyltransferase, SAM-dependent; tellurite, selenium resistance protein	Enzyme; Drug/analog sensitivity	Tellurite, selenium methyltransferase; tellurite, selenium resistance protein; dimeric	Antibiotic resistance 	response to tellurium ion
EG11902	yijE	predicted permease	unknown	unknown	1.31555383649E-06	0.19	0.767	0.27	0.279	N	N	u	EamA-like transporter family protein	Null	EamA-like transporter family protein, function unknown	Antibiotic resistance 	N/A
EG11952	mdtP	SdsRQP multidrug efflux transport system - predicted outer membrane factor	unknown	unknown	1.16743220259E-07	0.03	N/A	N/A	N/A	N/A	N/A	N/A	outer membrane factor of efflux pump	Orf; Not classified	Outer membrane factor (OMF) of MdtNOP efflux pump; probable lipoprotein, Cys conserved; tolC homolog; mutants are sensitive to acriflavin and puromycin	Antibiotic resistance 	sulfathiazole transport
EG11953	mdtO	SdsRQP multidrug efflux transport system - uncharacterised component	characterized	characterized	2.45920343381E-07	0.09	N/A	N/A	N/A	N/A	N/A	N/A	membrane translocase (MDR) of MdtNOP efflux pump, PET family	Orf; Not classified	PET family membrane translocase (MDR) of MdtNOP efflux pump; mdtP mutants are sensitive to acriflavin and puromycin	Antibiotic resistance 	sulfathiazole transport
EG11954	mdtN	SdsRQP multidrug efflux transport system - predicted membrane fusion protein	unknown	unknown	2.54445337594E-07	0.03	N/A	N/A	N/A	N/A	N/A	N/A	membrane fusion protein of efflux pump	Putative membrane; Not classified	Membrane fusion protein (MFP) of MdtNOP efflux pump, signal anchor; mdtP mutants are sensitive to acriflavin and puromycin	Antibiotic resistance 	sulfathiazole transport
EG12006	yehT	YehT	characterized	unknown	3.4853135005E-06	0.81	0.796	0.289	0.369	N	N	N	putative response regulator in two-component system withYehU	Null	Stationary phase response regulator inducing yjiY	Antibiotic resistance 	N/A
EG12025	sanA	vancomycin sensitivity	characterized	characterized	2.35118449271E-06	0.44	0.812	0.308	0.329	N	N	N	DUF218 superfamily vancomycin high temperature exclusion protein	Transport; Drug/analog sensitivity	Vancomycin high temperature exclusion protein; DUF218 superfamily protein	Antibiotic resistance 	N/A
EG12240	mdtE	MdtEF-TolC multidrug efflux transport system - membrane fusion protein	characterized	characterized	1.11179670769E-06	0.44	0.668	0.353	0.343	N	N	N	anaerobic multidrug efflux transporter, ArcA-regulated	Putative membrane; Not classified	Anaerobic multidrug efflux transporter MdtEF-TolC; toxic nitrosated indole efflux; membrane fusion protein (MFP) component, lipoprotein 	Antibiotic resistance 	N/A
EG12241	mdtF	MdtEF-TolC multidrug efflux transport system - permease subunit	characterized	characterized	1.78622572094E-06	0.41	0.894	0.335	0.414	N	N	u	anaerobic multidrug efflux transporter, ArcA-regulated	Putative transport; Not classified	Anaerobic multidrug efflux transporter MdtEF-TolC; toxic nitrosated indole efflux; RND family permease component	Antibiotic resistance 	N/A
EG12400	mdtK	multidrug efflux transporter MdtK	characterized	characterized	0.000006435	0.94	0.733	0.42	0.483	N	u	N	multidrug efflux system transporter	Putative transport; Not classified	Multidrug resistance efflux protein; overexpression resistance to norfloxacin, acriflavine, deoxycholate, trimethoprim	Antibiotic resistance 	antibiotic transport
EG12576	mdtM	multidrug efflux transporter MdtM	characterized	characterized	6.21347405073E-07	0.19	0.689	0.319	0.264	N	N	u	multidrug efflux system protein	Putative transport; Not classified	Multidrug resistance efflux protein; overexpression resistance to acriflavin, chloramphenicol, TPP, norfloxacin and ethidium	Antibiotic resistance 	N/A
EG12867	ampH	DD-endopeptidase / DD-carboxypeptidase	characterized	characterized	6.20132174009E-06	0.94	0.779	0.273	0.309	N	u	N	D-alanyl-D-alanine-carboxypeptidase/endopeptidase; penicillin-binding protein; weak beta-lactamase	Enzyme; Murein recycling	D-alanyl-D-alanine-carboxypeptidase/endopeptidase; peptidoglycan recycling or remodeling; penicillin-binding protein; very weak beta-lactamase	Antibiotic resistance 	N/A
G0-9561	blr	&beta;-lactam resistance protein	characterized	characterized	1.1970534771E-05	1.00	0.809	0.395	0.47	-	N	u	beta-lactam resistance membrane protein; divisome-associated protein	Null	Beta-lactam resistance protein; divisome-associated membrane protein; multi-copy suppressor of ftsQ1(Ts)	Antibiotic resistance 	N/A
G6256	fsr	fosmidomycin efflux transporter	characterized	characterized	4.061150727E-06	0.72	0.791	0.284	0.415	N	N	u	putative fosmidomycin efflux system protein	Putative transport; Not classified	Probable fosmidomycin exporter, membrane protein; overexpression confers fosmidomycin resistance	Antibiotic resistance 	N/A
G6461	macA	MacAB-TolC macrolide efflux transport system - membrane fusion protein	characterized	characterized	1.05043901412E-05	0.97	0.812	0.318	0.277	N	N	u	macrolide transporter membrane fusion protein (MFP) component	Putative membrane; Not classified	Membrane fusion protein (MFP) for macrolide efflux; subunit of ABC-type, TolC-dependent transporter MacAB; signal anchor; periplasmic	Antibiotic resistance 	drug export
G6462	macB	MacAB-TolC macrolide efflux transport system - membrane subunit	characterized	characterized	3.99887862716E-06	0.81	0.724	0.258	0.289	N	u	N	macrolide ABC transporter peremase/ATPase	Putative transport; Not classified	ABC-type macrolide efflux transporter, with MacA and TolC	Antibiotic resistance 	antibiotic transport
G6702	hslJ	heat shock protein HslJ	characterized	characterized	1.10052849187E-05	0.91	0.732	0.316	0.339	E	N	u	heat-inducible lipoprotein involved in novobiocin resistance	Factor; Adaptations, atypical conditions	Heat-inducible lipoprotein involved in novobiocin resistance	Antibiotic resistance 	N/A
G7113	mdtA	MdtABC-TolC multidrug efflux transport system - putative membrane fusion protein	characterized	characterized	0.000001295	0.31	0.729	0.298	0.202	N	N	N	multidrug efflux system, subunit A	Putative membrane; Not classified	MdtABC-TolC efflux pump, multidrug resistance; membrane fusion protein, signal anchor	Antibiotic resistance 	N/A
G7114	mdtB	MdtABC-TolC multidrug efflux transport system - membrane subunit	characterized	characterized	9.66363790818E-07	0.22	0.766	0.324	0.34	N	N	N	multidrug efflux system, subunit B	Null	MdtABC-TolC efflux pump, multidrug resistance; heterodimeric RND-type transporter	Antibiotic resistance 	N/A
G7115	mdtC	MdtABC-TolC multidrug efflux transport system - membrane subunit	characterized	characterized	7.4809338571E-07	0.25	0.774	0.258	0.279	N	N	u	multidrug efflux system, subunit C	Null	MdtABC-TolC efflux pump, multidrug resistance; heterodimeric RND-type transporter	Antibiotic resistance 	N/A
G7265	yfeW	penicillin binding protein 4B	characterized	unknown	0.000000798	0.22	0.818	0.31	0.352	N	u	N	penicillin binding protein PBP4B; weak DD-carboxypeptidase activity	Enzyme; Murein sacculus, peptidoglycan	Penicillin binding protein PBP4B; weak DD-carboxypeptidase activity	Antibiotic resistance 	N/A
EG10166	cspA	CspA DNA-binding transcriptional activator	characterized	characterized	0.0004073924	1.00	0.796	0.259	0.322	N	N	N	RNA chaperone and antiterminator, cold-inducible 	Regulator; Adaptations, atypical conditions	Cold-inducible RNA chaperone and antiterminator; aids gene expression at low temperature; cold shock protein CS7.4; binds ssRNA and ssDNA	Attenuation 	negative regulation of DNA-dependent transcription termination
EG11269	hisL	his operon leader peptide	characterized	characterized	0	0.00	0.744	0.38	0.558	-	N	u	his operon leader peptide	Leader; Amino acid biosynthesis: Histidine	his operon leader peptide	Attenuation 	N/A
EG11270	ilvL	ilvGEDA operon leader peptide	characterized	characterized	2.07914885178E-05	1.00	0.711	0.205	0.226	?	N	u	ilvG operon leader peptide	Leader; Amino acid biosynthesis: Isoleucine, Valine	ilvG operon leader peptide	Attenuation 	N/A
EG11272	pheM	phenylalanyl-tRNA synthetase (pheST) operon leader peptide	characterized	characterized	0	0.00	0.638	0.39	0.46	-	N	u	phenylalanyl-tRNA synthetase operon leader peptide	Leader; Aminoacyl tRNA synthetases, tRNA modification	pheST operon regulatory leader peptide	Attenuation 	N/A
EG11274	trpL	trp operon leader peptide	characterized	characterized	0	0.00	0.69	0.335	0.274	-	N	u	trp operon leader peptide	Leader; Amino acid biosynthesis: Tryptophan	Regulatory leader peptide for trp operon	Attenuation 	tryptophan biosynthetic process
EG11275	ivbL	ilvB operon leader peptide	characterized	characterized	0.000004708	0.91	0.843	0.305	0.333	?	N	u	ilvB operon leader peptide	Leader; Amino acid biosynthesis: Isoleucine, Valine	ilvB operon leader peptide	Attenuation 	N/A
EG11276	tnaC	tna operon leader peptide	characterized	characterized	0	0.00	0.798	0.292	0.364	N	N	u	tryptophanase leader peptide	Leader; Degradation of small molecules: Amino acids	Regulatory leader peptide for tna operon	Attenuation 	tryptophan catabolic process
EG11277	thrL	thr operon leader peptide	characterized	characterized	0	0.00	0.848	0.355	0.542	?	N	u	thr operon leader peptide	Leader; Amino acid biosynthesis: Threonine	Regulatory leader peptide for thrABC operon	Attenuation 	transcriptional attenuation by ribosome
EG11279	pyrL	Pyr operon leader peptide	characterized	characterized	4.34060715115E-05	1.00	0.728	0.55	0.498	?	N	u	pyrBI operon leader peptide	Leader; Pyrimidine ribonucleotide biosynthesis	pyrBI operon regulatory leader peptide	Attenuation 	N/A
EG11280	leuL	leu operon leader peptide	characterized	characterized	0	0.00	0.761	0.031	0.033	N	N	u	leu operon leader peptide	Leader; Amino acid biosynthesis: Leucine	leu operon leader peptide	Attenuation 	transcriptional attenuation by ribosome
EG11285	glrR	GlrR DNA-binding transcriptional activator	characterized	characterized	6.09693428963E-06	0.97	0.783	0.364	0.52	N	u	N	response regulator regulating glmY sRNA in two-component system with sensor protein GlrK	Putative regulator; Not classified	Response regulator regulating glmY sRNA; cognate histidine sensor kinase is GlrK(QseE)	Attenuation 	N/A
EG10015	rodZ	transmembrane component of cytoskeleton	characterized	characterized	5.5005794152E-05	1.00	0.293	0.213	0.192	N	u	N	MreB assembly cytoskeletal protein	Putative membrane; Not classified	Cytoskeletal protein required for MreB assembly; required for swarming phenotype; transmembrane protein	Cell shape 	N/A
EG10607	mrdB	rod shape-determining membrane protein; sensitivity to radiation and drugs	characterized	characterized	6.3863178771E-06	0.84	N.A.	N.A.	N.A.	E	E	u	cell wall shape-determining protein	Phenotype; Cell division	Affects cell shape, mecillinam sensitivity; recruits cognate transpetidase MrdA; SEDS protein	Cell shape 	N/A
EG10246	mltD	membrane-bound lytic murein transglycosylase D	characterized	characterized	0.0001462873	1.00	0.826	0.44	0.365	N	N	N	putative membrane-bound lytic murein transglycosylase D	Regulator; Energy metabolism, carbon: Anaerobic respiration	Membrane-bound lytic transglycosylase D, murein hydrolase; periplasmic OM-attached lipoprotein	Cell structure membrane 	positive regulation of oxidoreductase activity
EG10684	pal	Pal	characterized	characterized	0.0002968913	1.00	0.32	0.256	0.253	N	N	u	peptidoglycan-associated outer membrane lipoprotein	Membrane; Macromolecule synthesis, modification: Lipoprotein	Lipoprotein associated with peptidoglycan; involved in maintaining cell membrane integrity	Cell structure membrane 	N/A
EG10855	lptE	outer membrane lipopolysaccharide transport and assembly complex - LptE subunit	characterized	characterized	9.28573025572E-05	1.00	N.A.	N.A.	N.A.	E	N	u	LPS assembly OM complex LptDE, lipoprotein component	Membrane; Macromolecule synthesis, modification: Lipoprotein	LPS assembly OM complex LptDE, LPS-binding lipoprotein component	Cell structure membrane 	lipopolysaccharide transport
EG10952	bamE	Outer Membrane Protein Assembly Complex - BamE subunit	characterized	characterized	0.0001288421	1.00	0.711	0.3	0.393	?	N	u	lipoprotein component of BamABCDE OM biogenesis complex	Null	Lipoprotein stabilizer of BamABCDE OM biogenesis complex	Cell structure membrane 	protein insertion into membrane
EG11007	tolA	TolA	characterized	characterized	2.09164880688E-05	1.00	0.461	0.224	0.306	N	N	N	membrane anchored protein in TolA-TolQ-TolR complex	Membrane; Colicin-related functions	Tolerance to group A colicins, single-stranded filamentous DNA phage; required for OM integrity; membrane protein; bacteriocin tolerant	Cell structure membrane 	protein import
EG11008	tolB	TolB	characterized	characterized	7.44237001061E-05	1.00	0.405	0.284	0.292	N	N	u	periplasmic protein	Factor; Colicin-related functions	Uptake of group A colicins, mutants are tolerant to colicins E1-3, A, and K	Cell structure membrane 	protein import
EG11009	tolC	TolC monomer	characterized	characterized	6.85352143537E-05	1.00	0.782	0.367	0.441	N	N	N	transport channel	Putative membrane; Cell division	Outer membrane factor (OMF) of tripartite efflux pumps; channel-tunnel spanning the outer membrane and periplasm; trimeric; ColE1 tolerance	Cell structure membrane 	response to organic cyclic compound
EG11010	tolQ	TolQ	characterized	characterized	0.000027849	1.00	0.521	0.24	0.307	N	N	u	membrane spanning protein in TolA-TolQ-TolR complex	Membrane; Colicin-related functions	Tolerance to group A colicins and ssDNA filamentous phage; cell envelope integrity; inner membrane protein	Cell structure membrane 	protein import
EG11011	tolR	TolR	characterized	characterized	1.61372031457E-05	1.00	0.478	0.194	0.221	N	N	u	membrane spanning protein in TolA-TolQ-TolR complex	Putative transport; Not classified	Colicin import; Tolerance to group A colicins, single-stranded DNA filamentous phage; cell envelope integrity; inner membrane protein;	Cell structure membrane 	bacteriocin transport
EG11569	lptD	outer membrane lipopolysaccharide transport and assembly complex - LptD subunit	characterized	characterized	4.87093349855E-05	1.00	N.A.	N.A.	N.A.	E	E	u	LPS assembly OM complex LptDE, beta-barrel component	Phenotype; Adaptations, atypical conditions	LPS assembly OM complex LptDE, beta-barrel component	Cell structure membrane 	lipopolysaccharide transport
EG12274	wecH	O-acetyltransferase	characterized	characterized	1.02164700893E-06	0.22	0.703	0.317	0.39	N	N	u	O-acetyltransferase for enterobacterial common antigen (ECA)	Null	O-acetyltransferase for enterobacterial common antigen (ECA)	Cell structure membrane 	N/A
EG12854	ybgF	predicted periplasmic protein	unknown	unknown	0.0001423582	1.00	0.782	0.392	0.432	N	N	N	periplasmic TolA-binding protein	Null	TolA-binding protein, periplasmic, function unknown; TPR domain; trimeric; last gene in tolB-pal operon; secAB-dependent cleavage/secretion; no phenotype of kan insertion	Cell structure membrane 	N/A
G6312	borD	bacteriophage lambda Bor protein homolog	characterized	characterized	4.32001501657E-05	1.00	0.716	0.386	0.468	N	u	u	DLP12 prophage; putative lipoprotein	Phage or Prophage Related	Lipoprotein in DLP12 prophage; possibly involved in bacterial virulence	Cell structure membrane 	N/A
G6370	chiP	chitobiose outer membrane porin	characterized	characterized	3.0747303274E-07	0.09	0.808	0.379	0.454	N	u	u	chitoporin, uptake of chitosugars	Null	Chitoporin, uptake of chitosugars; repressed by chiX(micM) sRNA	Cell structure membrane 	chitin metabolic process
G6422	ybiS	L,D-transpeptidase YbiS	characterized	unknown	4.29788133387E-05	1.00	0.715	0.367	0.448	N	N	u	NA	NA	NA	Cell structure membrane 	peptidoglycan-protein cross-linking
G6452	amiD	anhydro-N-acetylmuramoyl-L-alanine amidase	characterized	characterized	9.60251086631E-06	0.97	0.774	0.293	0.33	E	N	N	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; OM lipoprotein	Putative regulator; Not classified	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; verified OM lipoprotein	Cell structure membrane 	N/A
G6504	gfcE	predicted exopolysaccharide export protein	unknown	unknown	6.9087989445E-07	0.16	0.708	0.329	0.339	N	N	N	putative O-antigen capsule outer membrane auxillary protein export channel	Transport; Not classified	Probable OMA family export channel; required to make O-antigen capsule; outer membrane auxillary lipoprotein	Cell structure membrane 	polysaccharide transport
G6505	gfcD	putative lipoprotein	characterized	characterized	5.9191478779E-07	0.19	0.7	0.303	0.352	N	N	N	putative O-antigen capsule production periplasmic protein	Null	Predicted periplasmic protein; required to make O-antigen capsule	Cell structure membrane 	N/A
G6506	gfcC	conserved protein	unknown	unknown	0.00000044	0.16	0.793	0.274	0.312	N	N	N	putative O-antigen capsule production periplasmic protein	Null	Predicted periplasmic protein; required to make O-antigen capsule	Cell structure membrane 	N/A
G6507	gfcB	predicted outer membrane lipoprotein	unknown	unknown	2.56343232692E-07	0.03	0.903	0.253	0.242	N	N	N	O-antigen capsule production lipoprotein	Putative regulator; Not classified	Lipoprotein required to make O-antigen capsule; predicted outer membrane location	Cell structure membrane 	N/A
G6508	gfcA	predicted protein	unknown	unknown	1.73609779825E-06	0.47	0.728	0.394	0.437	E	N	N	O-antigen capsule production threonine-rich inner membrane protein	Null	Threonine-rich inner membrane protein; required to make O-antigen capsule	Cell structure membrane 	N/A
G6552	mdoC	protein required for succinyl modification of osmoregulated periplasmic glucans	characterized	characterized	4.07563133599E-06	0.72	0.786	0.302	0.234	N	N	N	NA	NA	NA	Cell structure membrane 	N/A
G6565	lpoB	outer membrane lipoprotein - activator of PBP1B activity	characterized	characterized	3.83308748716E-05	1.00	0.592	0.356	0.341	N	u	u	OM lipoprotein stimulator of MrcB transpeptidase	Null	OM lipoprotein stimulator of MrcB transpeptidase	Cell structure membrane 	N/A
G6571	ycfS	L,D-transpeptidase YcfS	characterized	unknown	0.000003072	0.69	0.625	0.314	0.419	N	u	u	NA	NA	NA	Cell structure membrane 	peptidoglycan-protein cross-linking
G6990	yeaY	predicted lipoprotein	unknown	unknown	1.02240898088E-05	0.97	0.755	0.333	0.381	N	u	N	Slp family lipoprotein, RpoE-regulated	Membrane; Not classified	RpoE-regulated Slp family lipoprotein, function unknown	Cell structure membrane 	N/A
G7073	erfK	L,D-transpeptidase ErfK	characterized	characterized	7.19455797228E-06	0.88	0.713	0.242	0.325	N	N	N	NA	NA	NA	Cell structure membrane 	peptidoglycan-protein cross-linking
G7080	flu	CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter	characterized	characterized	1.89928732032E-06	0.41	0.612	0.222	0.121	N	N	u	CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter	Membrane; Outer membrane constituents; Phage or Prophage Related	Antigen 43, phase-variable bipartite outer membrane protein; Ag43; fluffing protein; CP4-44 defective prophage; affects surface properties, piliation, colony morphology	Cell structure membrane 	N/A
G7107	wza	lipoprotein required for capsular polysaccharide translocation through the outer membrane	characterized	characterized	2.9189612596E-07	0.13	0.848	0.2	0.23	N	N	N	colanic acid export protein; outer membrane auxillary lipoprotein	Transport; Not classified	Colanic acid export channel lipoprotein; outer membrane auxillary protein	Cell structure membrane 	capsule polysaccharide biosynthetic process
G7320	bamB	Outer Membrane Protein Assembly Complex - BamB subunit	characterized	characterized	7.83658278848E-05	1.00	0.369	0.273	0.32	N	u	N	BamABCDE complex OM biogenesis lipoprotein	Null	Beta-propeller lipoprotein in OM biogenesis BamABCDE complex; WD40/PQQ repeats; mutant has pleiotropic envelope defects; required for swarming phenotype	Cell structure membrane 	protein insertion into membrane
G7352	bamD	Outer Membrane Protein Assembly Complex - BamD subunit	characterized	characterized	7.83894740716E-05	1.00	N.A.	N.A.	N.A.	N	u	N	BamABCDE complex OM biogenesis lipoprotein	Null	TPR-repeat lipoprotein required for OM biogenesis; in BamABCDE complex	Cell structure membrane 	protein insertion into membrane
G7642	lpoA	outer membrane lipoprotein - activator of PBP1A activity	characterized	characterized	0.000025357	1.00	0.743	0.473	0.581	N	u	N	OM lipoprotein stimulator of MrcA transpeptidase	Factor; Not classified	OM lipoprotein stimulator of MrcA transpeptidase	Cell structure membrane 	N/A
G7668	mtgA	biosynthetic peptidoglycan transglycosylase	characterized	characterized	1.71081243231E-05	0.97	0.805	0.241	0.26	N	u	N	biosynthetic peptidoglycan transglycosylase	Putative enzyme; Not classified	Monofunctional peptidoglycan glycosyltransferase; monofunctional biosynthetic peptidoglycan transglycosylase; GTase; TGase	Cell structure membrane 	Gram-negative-bacterium-type cell wall biogenesis
EG50006	eutB	ethanolamine ammonia-lyase	characterized	characterized	2.38789448845E-05	1.00	0.721	0.341	0.476	N	u	N	ethanolamine ammonia-lyase, large subunit, heavy chain	Enzyme; Degradation of small molecules: Amines	Ethanolamine ammonia lyase, large subunit, adenosylcobalamine-dependent; concerted induction requires both B12 and ethanolamine; heterodimeric	Cell structure microcompartment protein	N/A
EG50007	eutC	ethanolamine ammonia-lyase	characterized	characterized	4.61361725881E-06	0.84	0.776	0.333	0.355	N	u	N	ethanolamine ammonia-lyase, small subunit (light chain)	Enzyme; Degradation of small molecules: Amines	Ethanolamine ammonia lyase, small subunit, adenosylcobalamine-dependent; concerted induction requires both B12 and ethanolamine; heterodimeric	Cell structure microcompartment protein	N/A
G7270	eutK	predicted structural protein	unknown	unknown	3.26784653031E-06	0.72	0.797	0.26	0.284	N	u	N	putative ethanol utilization carboxysome structural protein 	Null	Ethanolamine catabolic microcompartment shell protein	Cell structure microcompartment protein	N/A
G7271	eutL	predicted structural protein	unknown	unknown	3.54966390479E-06	0.66	0.656	0.26	0.299	E	u	u	putative ethanol utilization carboxysome structural protein 	Null	Ethanolamine catabolic microcompartment shell protein; forms a 2-dimensional protein membrane	Cell structure microcompartment protein	N/A
G7286	eutN	predicted carboxysome structural protein	unknown	unknown	4.56931147124E-08	0.00	0.739	0.398	0.489	E	N	N	Ethanolamine catabolic microcompartment shell protein	Phenotype; Not classified	Ethanolamine catabolic microcompartment shell protein	Cell structure microcompartment protein	N/A
G7287	eutM	predicted structural protein	unknown	unknown	1.29223992163E-06	0.31	0.798	0.4	0.452	N	N	u	ethanolamine utilization protein, putative carboxysome structural protein	Phenotype; Not classified	Ethanolamine catabolic microcompartment shell protein; forms a 2-dimensional protein membrane	Cell structure microcompartment protein	N/A
G7292	eutS	predicted structural protein	unknown	unknown	9.02928584654E-08	0.03	0.692	0.284	0.221	N	N	u	putative ethanol utilization carboxysome structural protein 	Null	Ethanolamine catabolic microcompartment shell protein	Cell structure microcompartment protein	N/A
EG10146	cheA	CheA/CheA(S)	characterized	characterized	0.0001055794	1.00	0.919	0.324	0.362	N	N	N	fused chemotactic sensory histidine kinase in two-component regulatory system with CheB and CheY: sensory histidine kinase/signal sensing protein	Enzyme; Chemotaxis and mobility	Histidine protein kinase sensor of chemotactic response; CheY is cognate response regulator; autophosphorylating	Chemotaxis 	positive regulation of protein dephosphorylation
EG10147	cheB	CheB	characterized	characterized	1.94608803284E-05	1.00	0.771	0.241	0.324	?	N	N	fused chemotaxis regulator: protein-glutamate methylesterase in two-component regulatory system with CheA	Enzyme; Chemotaxis and mobility	Chemotaxis MCP protein-glutamate methylesterase; reverses CheR methylation at specific MCP glutamates	Chemotaxis 	N/A
EG10148	cheR	chemotaxis protein methyltransferase	characterized	characterized	5.09685847132E-05	1.00	0.707	0.316	0.446	E	N	N	chemotaxis regulator, protein-glutamate methyltransferase	Enzyme; Chemotaxis and mobility	Chemotaxis MCP protein methyltransferase, SAM-dependent; binds C-terminus of chemoreceptors; makes glutamate methyl esters	Chemotaxis 	N/A
